Genes	KOG
Glyma.05G245600	T
Glyma.11G128900	T
Glyma.03G246800	T
Glyma.17G175400	T
Glyma.02G108700	T
Glyma.02G143800	T
Glyma.11G157200	T
Glyma.07G238700	T
Glyma.05G079700	T
Glyma.10G002200	T
Glyma.14G215800	T
Glyma.13G159600	T
Glyma.04G245000	T
Glyma.09G270900	T
Glyma.03G130800	T
Glyma.19G088200	T
Glyma.08G265200	T
Glyma.02G275600	T
Glyma.06G171150	T
Glyma.17G134900	T
Glyma.11G217200	T
Glyma.16G099600	T
Glyma.03G259100	D
Glyma.03G259100	Z
Glyma.18G260700	D
Glyma.18G260700	Z
Glyma.18G100800	D
Glyma.18G100800	Z
Glyma.16G022400	D
Glyma.16G022400	Z
Glyma.08G177600	D
Glyma.08G177600	Z
Glyma.12G142900	D
Glyma.12G142900	Z
Glyma.07G053300	D
Glyma.07G053300	Z
Glyma.15G055100	D
Glyma.15G055100	Z
Glyma.18G101100	D
Glyma.18G101100	Z
Glyma.19G257800	D
Glyma.19G257800	Z
Glyma.09G236800	D
Glyma.09G236800	Z
Glyma.09G185800	Q
Glyma.10G090700	Q
Glyma.02G282000	Q
Glyma.02G159100	Q
Glyma.07G090100	Q
Glyma.05G120300	Q
Glyma.18G116300	Q
Glyma.14G209400	Q
Glyma.17G255500	Q
Glyma.18G045100	Q
Glyma.15G276500	Q
Glyma.18G003900	Q
Glyma.09G227500	Q
Glyma.10G160500	Q
Glyma.06G250100	Q
Glyma.02G240000	Q
Glyma.14G216900	Q
Glyma.11G253000	Q
Glyma.14G032300	Q
Glyma.20G227900	Q
Glyma.08G303800	Q
Glyma.11G209027	Q
Glyma.02G311800	T
Glyma.20G070700	T
Glyma.11G020200	T
Glyma.10G186000	T
Glyma.03G204100	T
Glyma.17G096000	T
Glyma.20G222600	T
Glyma.08G227200	T
Glyma.03G246100	T
Glyma.01G223200	T
Glyma.17G013800	T
Glyma.04G175300	T
Glyma.17G260900	T
Glyma.14G179000	T
Glyma.02G180100	T
Glyma.07G232400	T
Glyma.03G138000	T
Glyma.20G041500	T
Glyma.07G260200	T
Glyma.17G261000	T
Glyma.07G151000	T
Glyma.12G053400	T
Glyma.10G103100	T
Glyma.04G097100	T
Glyma.02G192700	T
Glyma.18G202100	T
Glyma.06G134200	T
Glyma.14G000800	T
Glyma.02G278900	T
Glyma.02G163300	T
Glyma.07G210600	T
Glyma.18G096500	T
Glyma.01G184300	T
Glyma.10G120300	T
Glyma.02G211400	T
Glyma.11G077300	T
Glyma.14G222000	T
Glyma.19G201400	T
Glyma.15G222300	T
Glyma.10G216900	T
Glyma.06G098900	T
Glyma.07G051600	T
Glyma.06G290500	T
Glyma.16G020600	T
Glyma.01G166100	T
Glyma.06G161200	T
Glyma.02G134600	T
Glyma.14G035800	T
Glyma.02G048300	T
Glyma.10G166600	T
Glyma.05G030800	T
Glyma.05G213200	T
Glyma.10G084000	T
Glyma.05G090900	T
Glyma.10G087100	T
Glyma.05G198300	T
Glyma.11G058000	T
Glyma.02G182900	T
Glyma.04G204400	T
Glyma.14G023500	T
Glyma.16G128600	T
Glyma.16G199400	T
Glyma.19G140800	T
Glyma.20G175100	T
Glyma.10G217000	T
Glyma.04G231000	T
Glyma.06G189600	T
Glyma.08G316500	T
Glyma.02G291300	T
Glyma.08G005600	T
Glyma.19G129200	T
Glyma.13G224300	T
Glyma.06G128700	T
Glyma.17G229500	T
Glyma.17G071900	T
Glyma.17G149000	T
Glyma.08G023700	T
Glyma.04G235900	T
Glyma.11G038900	T
Glyma.08G332800	T
Glyma.17G004400	T
Glyma.18G074200	T
Glyma.07G269200	T
Glyma.05G066800	T
Glyma.08G194000	T
Glyma.15G006300	T
Glyma.09G016000	T
Glyma.05G217700	T
Glyma.13G367100	T
Glyma.20G177800	F
Glyma.06G162700	F
Glyma.06G000700	T
Glyma.04G001200	T
Glyma.10G106400	T
Glyma.12G185400	T
Glyma.13G316100	T
Glyma.11G020700	Q
Glyma.11G020700	P
Glyma.10G231700	Q
Glyma.10G231700	P
Glyma.13G231200	Q
Glyma.13G231200	P
Glyma.17G085100	Q
Glyma.17G085100	P
Glyma.03G236300	Q
Glyma.03G236300	P
Glyma.07G067700	Q
Glyma.07G067700	P
Glyma.15G124700	Q
Glyma.15G124700	P
Glyma.17G078300	Q
Glyma.17G078300	P
Glyma.05G198700	Q
Glyma.05G198700	P
Glyma.15G182000	Q
Glyma.15G182000	P
Glyma.16G033800	Q
Glyma.16G033800	P
Glyma.10G231600	Q
Glyma.10G231600	P
Glyma.19G233900	Q
Glyma.19G233900	P
Glyma.08G005900	Q
Glyma.08G005900	P
Glyma.09G018600	Q
Glyma.09G018600	P
Glyma.05G021100	Q
Glyma.05G021100	P
Glyma.04G203200	Q
Glyma.04G203200	P
Glyma.18G235900	Q
Glyma.18G235900	P
Glyma.10G152200	Q
Glyma.10G152200	P
Glyma.08G125500	T
Glyma.08G125500	O
Glyma.05G167200	T
Glyma.05G167200	O
Glyma.17G231900	K
Glyma.11G030200	K
Glyma.09G139000	K
Glyma.10G139000	K
Glyma.10G006600	K
Glyma.02G253100	K
Glyma.19G222200	K
Glyma.10G059000	K
Glyma.13G073400	K
Glyma.15G264000	K
Glyma.20G032900	K
Glyma.06G312900	K
Glyma.03G225200	K
Glyma.16G072700	K
Glyma.08G191500	K
Glyma.05G027000	K
Glyma.18G123600	K
Glyma.01G004900	K
Glyma.13G309200	K
Glyma.14G039200	K
Glyma.03G218200	K
Glyma.03G163100	K
Glyma.01G217500	K
Glyma.11G133700	K
Glyma.14G069100	K
Glyma.03G007500	K
Glyma.19G164600	K
Glyma.13G094400	K
Glyma.20G184100	K
Glyma.01G190100	K
Glyma.09G038900	K
Glyma.07G242600	K
Glyma.19G025000	K
Glyma.03G221700	K
Glyma.10G142200	K
Glyma.09G183400	K
Glyma.13G141900	K
Glyma.06G178600	K
Glyma.19G257400	K
Glyma.14G154400	K
Glyma.12G237500	K
Glyma.13G282100	K
Glyma.13G339900	K
Glyma.20G199300	K
Glyma.01G107500	K
Glyma.18G040700	K
Glyma.17G190900	K
Glyma.02G225700	K
Glyma.19G218800	K
Glyma.04G080600	K
Glyma.06G188400	K
Glyma.14G063400	K
Glyma.01G044300	K
Glyma.02G019300	K
Glyma.15G025500	K
Glyma.06G003800	K
Glyma.18G191200	K
Glyma.17G143600	K
Glyma.07G141100	K
Glyma.09G238800	K
Glyma.07G228600	K
Glyma.12G032200	K
Glyma.05G006100	K
Glyma.13G322900	K
Glyma.15G144000	K
Glyma.20G082300	K
Glyma.10G165800	K
Glyma.07G132400	K
Glyma.17G133800	K
Glyma.08G163200	K
Glyma.09G169300	K
Glyma.17G158000	K
Glyma.02G009800	K
Glyma.10G191000	K
Glyma.07G189300	K
Glyma.03G073774	K
Glyma.07G126900	K
Glyma.17G088600	K
Glyma.19G184500	K
Glyma.18G261400	K
Glyma.01G051700	K
Glyma.09G206200	K
Glyma.05G061900	K
Glyma.09G178000	K
Glyma.05G051700	K
Glyma.06G300100	K
Glyma.05G234600	K
Glyma.12G106400	K
Glyma.16G189400	K
Glyma.18G095600	K
Glyma.06G160500	K
Glyma.19G118500	K
Glyma.11G021600	K
Glyma.17G099800	K
Glyma.07G132200	K
Glyma.06G082300	K
Glyma.05G211200	K
Glyma.03G013300	K
Glyma.01G222200	K
Glyma.16G092100	K
Glyma.19G022100	K
Glyma.14G086500	K
Glyma.12G104800	K
Glyma.12G104600	K
Glyma.08G298200	K
Glyma.19G017900	K
Glyma.20G013000	K
Glyma.05G224300	K
Glyma.10G010400	K
Glyma.18G066400	K
Glyma.06G299300	K
Glyma.10G010300	K
Glyma.11G215800	K
Glyma.20G184200	K
Glyma.15G066800	K
Glyma.11G211643	K
Glyma.02G108800	K
Glyma.06G103300	K
Glyma.06G300200	K
Glyma.06G050000	K
Glyma.19G214900	K
Glyma.11G108400	K
Glyma.03G183900	K
Glyma.10G273000	K
Glyma.08G042100	K
Glyma.17G031600	K
Glyma.01G049600	K
Glyma.07G216000	K
Glyma.04G170100	K
Glyma.10G054700	K
Glyma.12G199600	K
Glyma.15G041100	K
Glyma.20G047600	K
Glyma.02G241000	K
Glyma.14G091500	K
Glyma.04G166900	K
Glyma.01G016600	K
Glyma.12G057900	K
Glyma.09G001500	K
Glyma.11G052100	K
Glyma.16G063700	K
Glyma.19G006500	K
Glyma.06G300400	K
Glyma.12G193300	K
Glyma.10G206400	K
Glyma.05G109200	K
Glyma.20G090700	K
Glyma.07G054000	K
Glyma.14G119000	K
Glyma.17G167100	K
Glyma.12G218200	K
Glyma.18G044200	K
Glyma.19G061600	K
Glyma.10G206500	K
Glyma.18G273300	K
Glyma.16G007200	K
Glyma.09G032100	K
Glyma.01G233400	K
Glyma.04G048900	K
Glyma.14G214500	K
Glyma.01G211500	K
Glyma.09G261600	K
Glyma.13G247200	K
Glyma.03G082400	K
Glyma.19G061300	K
Glyma.18G261700	K
Glyma.01G196200	K
Glyma.03G115400	K
Glyma.20G209700	K
Glyma.11G107100	K
Glyma.04G125700	K
Glyma.12G241400	K
Glyma.11G009400	K
Glyma.11G045400	K
Glyma.02G247100	K
Glyma.15G225300	K
Glyma.02G124300	K
Glyma.08G317800	K
Glyma.13G038500	K
Glyma.18G181300	K
Glyma.02G110000	K
Glyma.16G007100	K
Glyma.08G017600	K
Glyma.10G180800	K
Glyma.05G040700	K
Glyma.17G065800	K
Glyma.16G023000	K
Glyma.02G005600	K
Glyma.12G017000	K
Glyma.02G244600	K
Glyma.04G187300	K
Glyma.03G227700	K
Glyma.08G168100	K
Glyma.18G273400	K
Glyma.08G059900	K
Glyma.05G038500	K
Glyma.07G235900	K
Glyma.13G303100	K
Glyma.16G073000	K
Glyma.15G259400	K
Glyma.13G066600	K
Glyma.02G110100	K
Glyma.02G006800	K
Glyma.13G109100	K
Glyma.02G110200	K
Glyma.17G237900	K
Glyma.07G037700	K
Glyma.13G032200	K
Glyma.18G181100	K
Glyma.07G008500	K
Glyma.13G302400	K
Glyma.07G110700	K
Glyma.13G128500	K
Glyma.13G001200	E
Glyma.03G129700	E
Glyma.10G172700	E
Glyma.18G261600	E
Glyma.02G087900	E
Glyma.09G235400	E
Glyma.19G132000	E
Glyma.10G073800	U
Glyma.09G147400	U
Glyma.16G071000	U
Glyma.18G079600	U
Glyma.08G347032	U
Glyma.04G173000	R
Glyma.04G173000	I
Glyma.03G136000	R
Glyma.03G136000	I
Glyma.06G191300	R
Glyma.06G191300	I
Glyma.04G172900	R
Glyma.04G172900	I
Glyma.03G135525	Q
Glyma.20G040400	Q
Glyma.13G042900	Q
Glyma.03G135200	Q
Glyma.11G196100	Q
Glyma.10G209200	Q
Glyma.13G043000	Q
Glyma.13G043600	Q
Glyma.02G163200	Q
Glyma.08G070900	Q
Glyma.13G043800	Q
Glyma.08G070800	Q
Glyma.13G183400	Q
Glyma.13G044000	Q
Glyma.20G174800	Q
Glyma.13G043500	Q
Glyma.05G192700	Q
Glyma.19G137700	Q
Glyma.13G323500	Q
Glyma.01G020000	Q
Glyma.19G202200	Q
Glyma.12G177200	Q
Glyma.10G217300	Q
Glyma.08G201300	Q
Glyma.03G204800	Q
Glyma.10G057700	Q
Glyma.08G070700	Q
Glyma.08G071100	Q
Glyma.08G071200	Q
Glyma.14G012000	Q
Glyma.10G264900	Q
Glyma.05G247100	Q
Glyma.09G160000	Q
Glyma.20G184900	Q
Glyma.13G361900	Q
Glyma.13G144500	Q
Glyma.13G279800	Q
Glyma.10G086800	Q
Glyma.08G055500	Q
Glyma.20G181400	Q
Glyma.08G000800	Q
Glyma.02G302200	Q
Glyma.12G078000	Q
Glyma.06G248800	Q
Glyma.04G211800	Q
Glyma.18G074800	Q
Glyma.13G158600	J
Glyma.13G158600	E
Glyma.09G255200	K
Glyma.18G237800	K
Glyma.15G016100	C
Glyma.07G081900	C
Glyma.20G107800	C
Glyma.10G281400	C
Glyma.19G009100	C
Glyma.07G019900	C
Glyma.13G168700	C
Glyma.19G009000	C
Glyma.04G110700	C
Glyma.07G081800	C
Glyma.07G082100	C
Glyma.07G082000	C
Glyma.10G145100	U
Glyma.01G029800	U
Glyma.12G018600	U
Glyma.05G006000	U
Glyma.11G092300	U
Glyma.01G229000	U
Glyma.01G189800	U
Glyma.19G219200	U
Glyma.20G211300	U
Glyma.19G006400	U
Glyma.17G066400	U
Glyma.20G094200	U
Glyma.02G009600	U
Glyma.02G035600	U
Glyma.08G285600	U
Glyma.09G030900	U
Glyma.10G010200	U
Glyma.20G211600	U
Glyma.18G139400	U
Glyma.11G011800	U
Glyma.10G178500	U
Glyma.13G094000	U
Glyma.11G068500	U
Glyma.11G068500	Z
Glyma.01G176300	U
Glyma.01G176300	Z
Glyma.01G194500	R
Glyma.05G105800	R
Glyma.14G214600	R
Glyma.11G047400	R
Glyma.02G244500	R
Glyma.13G208600	U
Glyma.15G104200	U
Glyma.17G032100	U
Glyma.10G147800	U
Glyma.15G143300	U
Glyma.07G241800	U
Glyma.07G241900	U
Glyma.03G231800	U
Glyma.19G228800	U
Glyma.17G032000	U
Glyma.20G239600	U
Glyma.09G038200	U
Glyma.10G290000	U
Glyma.10G290000	T
Glyma.12G065600	U
Glyma.12G065600	T
Glyma.15G040600	U
Glyma.15G040600	T
Glyma.11G142300	U
Glyma.11G142300	T
Glyma.05G184600	U
Glyma.05G184600	T
Glyma.02G094100	U
Glyma.02G094100	T
Glyma.18G287600	U
Glyma.18G287600	T
Glyma.20G099300	U
Glyma.20G099300	T
Glyma.13G333500	U
Glyma.13G333500	T
Glyma.14G118400	R
Glyma.08G157000	R
Glyma.13G146600	R
Glyma.03G186200	R
Glyma.04G212400	R
Glyma.10G059900	R
Glyma.10G197400	R
Glyma.20G192600	R
Glyma.19G186300	R
Glyma.13G036800	R
Glyma.11G178506	R
Glyma.05G191800	R
Glyma.06G154000	R
Glyma.07G106100	D
Glyma.07G106100	T
Glyma.04G056600	D
Glyma.04G056600	T
Glyma.16G144600	D
Glyma.16G144600	T
Glyma.14G098000	D
Glyma.14G098000	T
Glyma.11G060300	D
Glyma.11G060300	T
Glyma.09G172000	D
Glyma.09G172000	T
Glyma.12G047900	D
Glyma.12G047900	T
Glyma.17G226700	D
Glyma.17G226700	T
Glyma.07G163200	D
Glyma.07G163200	T
Glyma.01G011200	D
Glyma.01G011200	T
Glyma.09G209900	D
Glyma.09G209900	T
Glyma.06G057000	D
Glyma.06G057000	T
Glyma.01G182000	D
Glyma.01G182000	T
Glyma.03G110200	T
Glyma.03G110200	U
Glyma.09G243300	T
Glyma.09G243300	U
Glyma.12G165301	T
Glyma.12G165301	U
Glyma.17G146100	T
Glyma.17G146100	U
Glyma.18G251300	T
Glyma.18G251300	U
Glyma.05G064300	T
Glyma.05G064300	U
Glyma.16G001700	T
Glyma.16G001700	U
Glyma.08G345300	U
Glyma.06G285300	U
Glyma.12G212400	U
Glyma.05G176300	U
Glyma.02G252000	U
Glyma.11G167591	U
Glyma.16G001800	U
Glyma.12G058900	U
Glyma.01G080300	U
Glyma.11G135400	U
Glyma.08G053400	U
Glyma.03G259200	U
Glyma.13G152610	U
Glyma.18G033600	U
Glyma.11G241300	U
Glyma.13G172800	U
Glyma.16G021800	U
Glyma.05G244700	U
Glyma.08G361000	U
Glyma.13G293200	U
Glyma.12G120400	U
Glyma.12G207900	U
Glyma.07G052800	U
Glyma.07G202900	U
Glyma.07G101400	U
Glyma.10G092700	U
Glyma.13G289300	U
Glyma.18G015700	U
Glyma.10G171600	U
Glyma.13G269000	U
Glyma.12G165400	U
Glyma.18G300600	U
Glyma.20G218700	U
Glyma.09G003700	U
Glyma.08G133800	U
Glyma.12G238800	U
Glyma.10G069600	U
Glyma.19G258000	U
Glyma.14G064800	U
Glyma.02G176000	U
Glyma.12G230600	U
Glyma.06G316100	H
Glyma.03G000600	H
Glyma.06G315600	H
Glyma.03G212700	H
Glyma.19G209700	H
Glyma.09G262300	H
Glyma.18G229900	H
Glyma.01G029000	U
Glyma.02G036200	U
Glyma.08G284800	U
Glyma.05G231400	U
Glyma.15G014700	U
Glyma.20G182400	U
Glyma.11G209354	U
Glyma.18G045000	U
Glyma.10G208300	U
Glyma.01G202400	U
Glyma.11G240300	U
Glyma.08G135400	U
Glyma.05G068900	U
Glyma.11G040400	U
Glyma.18G017000	U
Glyma.05G178300	U
Glyma.01G202500	U
Glyma.17G151600	U
Glyma.04G069300	U
Glyma.05G010300	U
Glyma.06G070500	U
Glyma.04G069200	U
Glyma.06G070700	U
Glyma.04G069100	U
Glyma.06G070600	U
Glyma.15G122300	U
Glyma.08G142300	U
Glyma.09G016700	U
Glyma.05G115000	U
Glyma.19G052300	U
Glyma.01G238600	O
Glyma.15G271200	A
Glyma.09G205500	A
Glyma.03G214400	A
Glyma.04G229300	A
Glyma.06G135500	A
Glyma.08G151700	A
Glyma.06G100200	A
Glyma.04G098600	A
Glyma.19G211100	A
Glyma.20G236800	A
Glyma.13G075300	A
Glyma.20G155400	A
Glyma.03G017200	A
Glyma.02G080500	A
Glyma.11G126400	A
Glyma.07G078300	A
Glyma.16G022300	A
Glyma.07G053200	A
Glyma.10G239100	A
Glyma.03G175600	A
Glyma.01G017400	A
Glyma.15G034200	A
Glyma.20G049400	A
Glyma.08G288300	A
Glyma.14G068500	A
Glyma.05G121100	A
Glyma.09G104200	A
Glyma.19G176100	A
Glyma.02G247800	A
Glyma.17G196800	A
Glyma.03G175400	A
Glyma.14G136700	A
Glyma.19G176200	A
Glyma.20G074200	A
Glyma.01G162000	A
Glyma.16G121300	A
Glyma.18G136900	A
Glyma.08G075700	A
Glyma.10G219500	A
Glyma.20G172200	A
Glyma.20G113200	A
Glyma.20G113200	R
Glyma.10G276500	A
Glyma.10G276500	R
Glyma.01G017400	R
Glyma.09G265100	R
Glyma.03G196700	R
Glyma.15G271200	R
Glyma.18G296100	A
Glyma.11G067300	A
Glyma.08G366200	A
Glyma.01G175100	A
Glyma.11G126400	R
Glyma.16G121300	R
Glyma.14G035900	R
Glyma.16G018200	R
Glyma.14G068500	R
Glyma.02G044000	R
Glyma.11G011000	R
Glyma.06G263200	R
Glyma.10G122100	R
Glyma.07G049500	R
Glyma.04G098600	R
Glyma.02G278800	R
Glyma.16G116600	R
Glyma.09G104200	R
Glyma.20G199900	T
Glyma.17G079200	T
Glyma.08G246600	T
Glyma.07G225500	T
Glyma.19G168200	T
Glyma.08G347800	T
Glyma.03G167100	T
Glyma.10G131700	T
Glyma.18G159100	T
Glyma.20G081800	T
Glyma.05G020200	T
Glyma.20G025500	T
Glyma.12G089500	A
Glyma.07G119000	A
Glyma.03G260500	A
Glyma.09G245000	A
Glyma.19G259200	A
Glyma.18G248200	A
Glyma.15G029000	A
Glyma.13G345300	A
Glyma.03G107700	A
Glyma.11G182900	A
Glyma.16G130000	A
Glyma.18G001100	A
Glyma.11G256000	A
Glyma.12G005900	A
Glyma.09G230800	A
Glyma.10G005000	A
Glyma.06G324000	A
Glyma.04G255700	A
Glyma.13G294500	A
Glyma.17G119500	A
Glyma.08G087800	A
Glyma.10G122100	A
Glyma.12G206400	A
Glyma.08G290700	J
Glyma.18G133400	J
Glyma.16G160800	A
Glyma.16G160800	J
Glyma.20G004000	A
Glyma.20G004000	J
Glyma.02G103900	A
Glyma.02G103900	J
Glyma.14G084500	A
Glyma.14G084500	J
Glyma.19G188700	A
Glyma.19G188700	J
Glyma.13G345300	J
Glyma.02G049800	A
Glyma.02G049800	J
Glyma.20G171200	A
Glyma.20G171200	J
Glyma.07G215300	A
Glyma.07G215300	J
Glyma.03G188500	A
Glyma.03G188500	J
