KOG	Genes
KOG0483	Glyma.01G044600
KOG0881	Glyma.01G044900
KOG0880	Glyma.01G044900
KOG0884	Glyma.01G044900
KOG1725	Glyma.01G045400
KOG3329	Glyma.01G045700
KOG0769	Glyma.01G045800
KOG4232	Glyma.01G046000
KOG3085	Glyma.01G046200
KOG1192	Glyma.01G046300
KOG4557	Glyma.01G046400
KOG0874	Glyma.01G046500
KOG4658	Glyma.01G046900
KOG1790	Glyma.01G047000
KOG1386	Glyma.01G047100
KOG1609	Glyma.01G047700
KOG1642	Glyma.01G048200
KOG1642	Glyma.01G048400
KOG2287	Glyma.01G048500
KOG1238	Glyma.01G048800
KOG0027	Glyma.01G049500
KOG0048	Glyma.01G049600
KOG4246	Glyma.01G051400
KOG0048	Glyma.01G051700
KOG4520	Glyma.01G052400
KOG0192	Glyma.01G052600
KOG1666	Glyma.01G052800
KOG3047	Glyma.01G053200
KOG1311	Glyma.01G053300
KOG1004	Glyma.01G053700
KOG3271	Glyma.01G054000
KOG1036	Glyma.01G054100
KOG1407	Glyma.01G054100
KOG2861	Glyma.01G054300
KOG0795	Glyma.01G054500
KOG2633	Glyma.01G055300
KOG4412	Glyma.01G055500
KOG0143	Glyma.01G056100
KOG3065	Glyma.01G056500
KOG2743	Glyma.01G057400
KOG1021	Glyma.01G057900
KOG0841	Glyma.01G058000
KOG1454	Glyma.01G058400
KOG4249	Glyma.01G059200
KOG0381	Glyma.01G060600
KOG0156	Glyma.01G061100
KOG0576	Glyma.01G061500
KOG0431	Glyma.01G061700
KOG3147	Glyma.01G062000
KOG2855	Glyma.01G062100
KOG1187	Glyma.01G062900
KOG4732	Glyma.01G063600
KOG0014	Glyma.01G064100
KOG0014	Glyma.01G064200
KOG4658	Glyma.01G065800
KOG2381	Glyma.01G067000
KOG0254	Glyma.01G067600
KOG0143	Glyma.01G068200
KOG1850	Glyma.01G068800
KOG1003	Glyma.01G068800
KOG0356	Glyma.01G069500
KOG4203	Glyma.01G070300
KOG0788	Glyma.01G071300
KOG1187	Glyma.01G071700
KOG1285	Glyma.01G073200
KOG0978	Glyma.01G074000
KOG3734	Glyma.01G074500
KOG2196	Glyma.01G074700
KOG1320	Glyma.01G077600
KOG1235	Glyma.01G079100
KOG3102	Glyma.01G079300
KOG2240	Glyma.01G080200
KOG0087	Glyma.01G080300
KOG1455	Glyma.01G080600
KOG1502	Glyma.01G080700
KOG0011	Glyma.01G081500
KOG0557	Glyma.01G081900
KOG0692	Glyma.01G082200
KOG1603	Glyma.01G082600
KOG0670	Glyma.01G082700
KOG2027	Glyma.01G083000
KOG4603	Glyma.01G083100
KOG4711	Glyma.01G083700
KOG1339	Glyma.01G084600
KOG1303	Glyma.01G084800
KOG0594	Glyma.01G087900
KOG3416	Glyma.01G089000
KOG2990	Glyma.01G089100
KOG0617	Glyma.01G090200
KOG1018	Glyma.01G092400
KOG1187	Glyma.01G093100
KOG3197	Glyma.01G093200
KOG0027	Glyma.01G094000
KOG0401	Glyma.01G094200
KOG1546	Glyma.01G094900
KOG1493	Glyma.01G095600
KOG0706	Glyma.01G096300
KOG0758	Glyma.01G097100
KOG2817	Glyma.01G097700
KOG1187	Glyma.01G098400
KOG3109	Glyma.01G098700
KOG1315	Glyma.01G099100
KOG0595	Glyma.01G099600
KOG1017	Glyma.01G099700
KOG0656	Glyma.01G100000
KOG1187	Glyma.01G101000
KOG2246	Glyma.01G102100
KOG1577	Glyma.01G102600
KOG1577	Glyma.01G102900
KOG2160	Glyma.01G103200
KOG1223	Glyma.01G104100
KOG0773	Glyma.01G104200
KOG0181	Glyma.01G105500
KOG0406	Glyma.01G106000
KOG0406	Glyma.01G106100
KOG0543	Glyma.01G106600
KOG3386	Glyma.01G106700
KOG0048	Glyma.01G107500
KOG3058	Glyma.01G108000
KOG4779	Glyma.01G109600
KOG2855	Glyma.01G109700
KOG1444	Glyma.01G110200
KOG1441	Glyma.01G110300
KOG0753	Glyma.01G110400
KOG1792	Glyma.01G110500
KOG2935	Glyma.01G110900
KOG2386	Glyma.01G111200
KOG4658	Glyma.01G112200
KOG4658	Glyma.01G112300
KOG0157	Glyma.01G112400
KOG0724	Glyma.01G112700
KOG1111	Glyma.01G113000
KOG0223	Glyma.01G113400
KOG1303	Glyma.01G114000
KOG1928	Glyma.01G114900
KOG0381	Glyma.01G116000
KOG3210	Glyma.01G116100
KOG0472	Glyma.01G117000
KOG0472	Glyma.01G117200
KOG0562	Glyma.01G117800
KOG2134	Glyma.01G117800
KOG1187	Glyma.01G117900
KOG1187	Glyma.01G118350
KOG1187	Glyma.01G118800
KOG1187	Glyma.01G118900
KOG0864	Glyma.01G119300
KOG2776	Glyma.01G119400
KOG0911	Glyma.01G119900
KOG0472	Glyma.01G120000
KOG0472	Glyma.01G120100
KOG0472	Glyma.01G120300
KOG4282	Glyma.01G121000
KOG1632	Glyma.01G121218
KOG0714	Glyma.01G121300
KOG1895	Glyma.01G121400
KOG1530	Glyma.01G121700
KOG3035	Glyma.01G122000
KOG4361	Glyma.01G123300
KOG0682	Glyma.01G123400
KOG0548	Glyma.01G123900
KOG0378	Glyma.01G124300
KOG2332	Glyma.01G124500
KOG0178	Glyma.01G124900
KOG1740	Glyma.01G125100
KOG1187	Glyma.01G125200
KOG0617	Glyma.01G125300
KOG4658	Glyma.01G125400
KOG1187	Glyma.01G125800
KOG3142	Glyma.01G125900
KOG1759	Glyma.01G126000
KOG1759	Glyma.01G126200
KOG0472	Glyma.01G126900
KOG1471	Glyma.01G127500
KOG0698	Glyma.01G127600
KOG4658	Glyma.01G127700
KOG1947	Glyma.01G128200
KOG2601	Glyma.01G128300
KOG1411	Glyma.01G131100
KOG1340	Glyma.01G131400
KOG0583	Glyma.01G131500
KOG1347	Glyma.01G132200
KOG0192	Glyma.01G132300
KOG1187	Glyma.01G133300
KOG3457	Glyma.01G133400
KOG1674	Glyma.01G133900
KOG0987	Glyma.01G135100
KOG0156	Glyma.01G135200
KOG1161	Glyma.01G135500
KOG0439	Glyma.01G136000
KOG1235	Glyma.01G136500
KOG4832	Glyma.01G137000
KOG0143	Glyma.01G137100
KOG3208	Glyma.01G137300
KOG3191	Glyma.01G139633
KOG1696	Glyma.01G140102
KOG2964	Glyma.01G140200
KOG2286	Glyma.01G140600
KOG1603	Glyma.01G141700
KOG1315	Glyma.01G142300
KOG0868	Glyma.01G142800
KOG3980	Glyma.01G143200
KOG0027	Glyma.01G144300
KOG0240	Glyma.01G144500
KOG0884	Glyma.01G144800
KOG3420	Glyma.01G145300
KOG1071	Glyma.01G145400
KOG1163	Glyma.01G146100
KOG2943	Glyma.01G146300
KOG0614	Glyma.01G146600
KOG0616	Glyma.01G146600
KOG0254	Glyma.01G146700
KOG0150	Glyma.01G146900
KOG2352	Glyma.01G147000
KOG1082	Glyma.01G147300
KOG1021	Glyma.01G147500
KOG1489	Glyma.01G148100
KOG0440	Glyma.01G148500
KOG0840	Glyma.01G149700
KOG4162	Glyma.01G149800
KOG4214	Glyma.01G149900
KOG1287	Glyma.01G150200
KOG4282	Glyma.01G150500
KOG4118	Glyma.01G150600
KOG1187	Glyma.01G150700
KOG1187	Glyma.01G151100
KOG0472	Glyma.01G152300
KOG1238	Glyma.01G152900
KOG1073	Glyma.01G153100
KOG0157	Glyma.01G153300
KOG3301	Glyma.01G153400
KOG3794	Glyma.01G154300
KOG1386	Glyma.01G154700
KOG1285	Glyma.01G154900
KOG4249	Glyma.01G155200
KOG0239	Glyma.01G155300
KOG0143	Glyma.01G155400
KOG0143	Glyma.01G155500
KOG1187	Glyma.01G155600
KOG0831	Glyma.01G156000
KOG2722	Glyma.01G156200
KOG2744	Glyma.01G156400
KOG0617	Glyma.01G157000
KOG0767	Glyma.01G157100
KOG0254	Glyma.01G157300
KOG1493	Glyma.01G157400
KOG2722	Glyma.01G157700
KOG0198	Glyma.01G157800
KOG1052	Glyma.01G157900
KOG0698	Glyma.01G158000
KOG4551	Glyma.01G158500
KOG4253	Glyma.01G158900
KOG4405	Glyma.01G159000
KOG0010	Glyma.01G159500
KOG2159	Glyma.01G159600
KOG0653	Glyma.01G159700
KOG0993	Glyma.01G159900
KOG0978	Glyma.01G159900
KOG4687	Glyma.01G159900
KOG4750	Glyma.01G160000
KOG4742	Glyma.01G160100
KOG4473	Glyma.01G160600
KOG1303	Glyma.01G161100
KOG2633	Glyma.01G161200
KOG1530	Glyma.01G161500
KOG0192	Glyma.01G161600
KOG0580	Glyma.01G161600
KOG0984	Glyma.01G161600
KOG4412	Glyma.01G161900
KOG0107	Glyma.01G162000
KOG0121	Glyma.01G162000
KOG1591	Glyma.01G162700
KOG1339	Glyma.01G163000
KOG2793	Glyma.01G163200
KOG2590	Glyma.01G163300
KOG1724	Glyma.01G163900
KOG0393	Glyma.01G164200
KOG0519	Glyma.01G164800
KOG2884	Glyma.01G165100
KOG1530	Glyma.01G165300
KOG0032	Glyma.01G166100
KOG0143	Glyma.01G166200
KOG3149	Glyma.01G166600
KOG2309	Glyma.01G167300
KOG0232	Glyma.01G168000
KOG1187	Glyma.01G168100
KOG0242	Glyma.01G168200
KOG2944	Glyma.01G168400
KOG2819	Glyma.01G168600
KOG1946	Glyma.01G168900
KOG0156	Glyma.01G169200
KOG1601	Glyma.01G169400
KOG0014	Glyma.01G169600
KOG0427	Glyma.01G169700
KOG0157	Glyma.01G170000
KOG0820	Glyma.01G170100
KOG0907	Glyma.01G170300
KOG3150	Glyma.01G170400
KOG1752	Glyma.01G170900
KOG4658	Glyma.01G171000
KOG1471	Glyma.01G171200
KOG0743	Glyma.01G171300
KOG3146	Glyma.01G171800
KOG0431	Glyma.01G172200
KOG1626	Glyma.01G172400
KOG2035	Glyma.01G172500
KOG2521	Glyma.01G173000
KOG0810	Glyma.01G173100
KOG1594	Glyma.01G173300
KOG1427	Glyma.01G173400
KOG2502	Glyma.01G173700
KOG0254	Glyma.01G174400
KOG1597	Glyma.01G174900
KOG1187	Glyma.01G175000
KOG0113	Glyma.01G175100
KOG0157	Glyma.01G175500
KOG3381	Glyma.01G175900
KOG0073	Glyma.01G176300
KOG2144	Glyma.01G176800
KOG1725	Glyma.01G177300
KOG0484	Glyma.01G177500
KOG3135	Glyma.01G177600
KOG1330	Glyma.01G178100
KOG0420	Glyma.01G178200
KOG2966	Glyma.01G178500
KOG0823	Glyma.01G178600
KOG2913	Glyma.01G178800
KOG1187	Glyma.01G179000
KOG1187	Glyma.01G179100
KOG0156	Glyma.01G179400
KOG0156	Glyma.01G179500
KOG0156	Glyma.01G179600
KOG0156	Glyma.01G179700
KOG1703	Glyma.01G179800
KOG0773	Glyma.01G179900
KOG1082	Glyma.01G180100
KOG3017	Glyma.01G180366
KOG4563	Glyma.01G181200
KOG0156	Glyma.01G181800
KOG0156	Glyma.01G181900
KOG0082	Glyma.01G182000
KOG0266	Glyma.01G182100
KOG1187	Glyma.01G182400
KOG0907	Glyma.01G182500
KOG4658	Glyma.01G183300
KOG4658	Glyma.01G183400
KOG0583	Glyma.01G183500
KOG0198	Glyma.01G183500
KOG1946	Glyma.01G183600
KOG2530	Glyma.01G183800
KOG0198	Glyma.01G184000
KOG0032	Glyma.01G184300
KOG0027	Glyma.01G185600
KOG2548	Glyma.01G186000
KOG4205	Glyma.01G186400
KOG4569	Glyma.01G186600
KOG0198	Glyma.01G186900
KOG1187	Glyma.01G187300
KOG1663	Glyma.01G187700
KOG1457	Glyma.01G188700
KOG0424	Glyma.01G188900
KOG1476	Glyma.01G189200
KOG1688	Glyma.01G189400
KOG2283	Glyma.01G189500
KOG1947	Glyma.01G189600
KOG0656	Glyma.01G189700
KOG0070	Glyma.01G189800
KOG3000	Glyma.01G190000
KOG0048	Glyma.01G190100
KOG1339	Glyma.01G190800
KOG0548	Glyma.01G191100
KOG4178	Glyma.01G191200
KOG1454	Glyma.01G191200
KOG0700	Glyma.01G191300
KOG4332	Glyma.01G191800
KOG2524	Glyma.01G192900
KOG1778	Glyma.01G193300
KOG0656	Glyma.01G193400
KOG3126	Glyma.01G193700
KOG3401	Glyma.01G193800
KOG0075	Glyma.01G194500
KOG2436	Glyma.01G194700
KOG0748	Glyma.01G194900
KOG4748	Glyma.01G195000
KOG0048	Glyma.01G196200
KOG0483	Glyma.01G196600
KOG1187	Glyma.01G197600
KOG0472	Glyma.01G197600
KOG1494	Glyma.01G197700
KOG1187	Glyma.01G197800
KOG0472	Glyma.01G197800
KOG4711	Glyma.01G199400
KOG0700	Glyma.01G199600
KOG3373	Glyma.01G199700
KOG0157	Glyma.01G199800
KOG0565	Glyma.01G200466
KOG3257	Glyma.01G201000
KOG2174	Glyma.01G201100
KOG4707	Glyma.01G201700
KOG2914	Glyma.01G202000
KOG0094	Glyma.01G202400
KOG0094	Glyma.01G202500
KOG1100	Glyma.01G203300
KOG1187	Glyma.01G203500
KOG0402	Glyma.01G203600
KOG3092	Glyma.01G203800
KOG1982	Glyma.01G204000
KOG0583	Glyma.01G204200
KOG1082	Glyma.01G204900
KOG1629	Glyma.01G205200
KOG2614	Glyma.01G205700
KOG4569	Glyma.01G205900
KOG2350	Glyma.01G206000
KOG1415	Glyma.01G206200
KOG1187	Glyma.01G206400
KOG1187	Glyma.01G206500
KOG0324	Glyma.01G207000
KOG2541	Glyma.01G207200
KOG0483	Glyma.01G207300
KOG1678	Glyma.01G207700
KOG2420	Glyma.01G207800
KOG3076	Glyma.01G208000
KOG0223	Glyma.01G208200
KOG3368	Glyma.01G208400
KOG1913	Glyma.01G209200
KOG1913	Glyma.01G209300
KOG0009	Glyma.01G209400
KOG1471	Glyma.01G209900
KOG0439	Glyma.01G210100
KOG1654	Glyma.01G210200
KOG2209	Glyma.01G210600
KOG1712	Glyma.01G210800
KOG0048	Glyma.01G211500
KOG0027	Glyma.01G211700
KOG1187	Glyma.01G211900
KOG2729	Glyma.01G212700
KOG1347	Glyma.01G213000
KOG0240	Glyma.01G213200
KOG2718	Glyma.01G213400
KOG1187	Glyma.01G213600
KOG1902	Glyma.01G214100
KOG0143	Glyma.01G214200
KOG0305	Glyma.01G214500
KOG0773	Glyma.01G214800
KOG2142	Glyma.01G215600
KOG2724	Glyma.01G215800
KOG1347	Glyma.01G216600
KOG0157	Glyma.01G216900
KOG0192	Glyma.01G217100
KOG0048	Glyma.01G217500
KOG3095	Glyma.01G217900
KOG4593	Glyma.01G218100
KOG0978	Glyma.01G218100
KOG3100	Glyma.01G218300
KOG1303	Glyma.01G218600
KOG1187	Glyma.01G218800
KOG1735	Glyma.01G218900
KOG1021	Glyma.01G219300
KOG1651	Glyma.01G219400
KOG1886	Glyma.01G220200
KOG0223	Glyma.01G220600
KOG0198	Glyma.01G220700
KOG1493	Glyma.01G221300
KOG0235	Glyma.01G221400
KOG0773	Glyma.01G221500
KOG2246	Glyma.01G221600
KOG0048	Glyma.01G222200
KOG1309	Glyma.01G222400
KOG0032	Glyma.01G223200
KOG4711	Glyma.01G223300
KOG2881	Glyma.01G223500
KOG1594	Glyma.01G223900
KOG1187	Glyma.01G224000
KOG0265	Glyma.01G224200
KOG0752	Glyma.01G224400
KOG1303	Glyma.01G224500
KOG2445	Glyma.01G224700
KOG0698	Glyma.01G225100
KOG2752	Glyma.01G225700
KOG2381	Glyma.01G226200
KOG0001	Glyma.01G226200
KOG1396	Glyma.01G226400
KOG0550	Glyma.01G227100
KOG0130	Glyma.01G227300
KOG2892	Glyma.01G227400
KOG1614	Glyma.01G227700
KOG1205	Glyma.01G227900
KOG2829	Glyma.01G228100
KOG4743	Glyma.01G228200
KOG3382	Glyma.01G228400
KOG0802	Glyma.01G228500
KOG0070	Glyma.01G229000
KOG1157	Glyma.01G229200
KOG2769	Glyma.01G229700
KOG2246	Glyma.01G229900
KOG1339	Glyma.01G230000
KOG1339	Glyma.01G230100
KOG1676	Glyma.01G230700
KOG3453	Glyma.01G230900
KOG0544	Glyma.01G231400
KOG2382	Glyma.01G231600
KOG2558	Glyma.01G231700
KOG0627	Glyma.01G233000
KOG3138	Glyma.01G233200
KOG0959	Glyma.01G233300
KOG0048	Glyma.01G233400
KOG2818	Glyma.01G233700
KOG2761	Glyma.01G234700
KOG1804	Glyma.01G235200
KOG0565	Glyma.01G235300
KOG0134	Glyma.01G235600
KOG0192	Glyma.01G236100
KOG1171	Glyma.01G236300
KOG4643	Glyma.01G236400
KOG1628	Glyma.01G236600
KOG0101	Glyma.01G238600
KOG1109	Glyma.01G238700
KOG0254	Glyma.01G238800
KOG1515	Glyma.01G239300
KOG1515	Glyma.01G239500
KOG1515	Glyma.01G239600
KOG0698	Glyma.01G239700
KOG1754	Glyma.01G240000
KOG0483	Glyma.01G240100
KOG1187	Glyma.01G240800
KOG1187	Glyma.01G240900
KOG1187	Glyma.01G241000
KOG3383	Glyma.01G241600
KOG2662	Glyma.01G242000
KOG3506	Glyma.01G242902
KOG1287	Glyma.01G243100
KOG2093	Glyma.01G243900
KOG1919	Glyma.01G244300
KOG2000	Glyma.01G244400
KOG1127	Glyma.01G245200
KOG1441	Glyma.01G245500
KOG0691	Glyma.01G245700
KOG2767	Glyma.02G000200
KOG1187	Glyma.02G000400
KOG3348	Glyma.02G000900
KOG2611	Glyma.02G001200
KOG4702	Glyma.02G001300
KOG4642	Glyma.02G001400
KOG1540	Glyma.02G002000
KOG0027	Glyma.02G002100
KOG2988	Glyma.02G002300
KOG3166	Glyma.02G002800
KOG3221	Glyma.02G004000
KOG3421	Glyma.02G004100
KOG2449	Glyma.02G004400
KOG4508	Glyma.02G005000
KOG1575	Glyma.02G005200
KOG1427	Glyma.02G005300
KOG0048	Glyma.02G005600
KOG0133	Glyma.02G005700
KOG3345	Glyma.02G006400
KOG0048	Glyma.02G006800
KOG4304	Glyma.02G007000
KOG4742	Glyma.02G007400
KOG1549	Glyma.02G007800
KOG1187	Glyma.02G008500
KOG1654	Glyma.02G008800
KOG0698	Glyma.02G009100
KOG0070	Glyma.02G009600
KOG0048	Glyma.02G009800
KOG0143	Glyma.02G010100
KOG1187	Glyma.02G011400
KOG0840	Glyma.02G011800
KOG1079	Glyma.02G012100
KOG2346	Glyma.02G012800
KOG0176	Glyma.02G013600
KOG0713	Glyma.02G013800
KOG0191	Glyma.02G014000
KOG0190	Glyma.02G014000
KOG0257	Glyma.02G014800
KOG1696	Glyma.02G015900
KOG1696	Glyma.02G016000
KOG1037	Glyma.02G017200
KOG0133	Glyma.02G017500
KOG3434	Glyma.02G017800
KOG1455	Glyma.02G017900
KOG1429	Glyma.02G018000
KOG0483	Glyma.02G019100
KOG0048	Glyma.02G019300
KOG1581	Glyma.02G019400
KOG1187	Glyma.02G019500
KOG1187	Glyma.02G019800
KOG0419	Glyma.02G020000
KOG1764	Glyma.02G020200
KOG0471	Glyma.02G020500
KOG2620	Glyma.02G020900
KOG2620	Glyma.02G021400
KOG2620	Glyma.02G021500
KOG1187	Glyma.02G021700
KOG0483	Glyma.02G022300
KOG1427	Glyma.02G022400
KOG0907	Glyma.02G023000
KOG0907	Glyma.02G023100
KOG0907	Glyma.02G023400
KOG0712	Glyma.02G023500
KOG1187	Glyma.02G024400
KOG2610	Glyma.02G024500
KOG0406	Glyma.02G024600
KOG0406	Glyma.02G024800
KOG2287	Glyma.02G025000
KOG2215	Glyma.02G025100
KOG4658	Glyma.02G026200
KOG4204	Glyma.02G026700
KOG0313	Glyma.02G029200
KOG4384	Glyma.02G029300
KOG0713	Glyma.02G029600
KOG4308	Glyma.02G029800
KOG1192	Glyma.02G029900
KOG4658	Glyma.02G030000
KOG0656	Glyma.02G030200
KOG4658	Glyma.02G030700
KOG0873	Glyma.02G030900
KOG1187	Glyma.02G032200
KOG4510	Glyma.02G032400
KOG1493	Glyma.02G033200
KOG4214	Glyma.02G033700
KOG1562	Glyma.02G033900
KOG2253	Glyma.02G034300
KOG2681	Glyma.02G034400
KOG1578	Glyma.02G035000
KOG1187	Glyma.02G035300
KOG0070	Glyma.02G035600
KOG1100	Glyma.02G035800
KOG3497	Glyma.02G035900
KOG0004	Glyma.02G036000
KOG0090	Glyma.02G036200
KOG1187	Glyma.02G036500
KOG0773	Glyma.02G036900
KOG1540	Glyma.02G037000
KOG1187	Glyma.02G037100
KOG1187	Glyma.02G037200
KOG1448	Glyma.02G038000
KOG1742	Glyma.02G038700
KOG1347	Glyma.02G039500
KOG2551	Glyma.02G039800
KOG2551	Glyma.02G040000
KOG0759	Glyma.02G040700
KOG1865	Glyma.02G040900
KOG1871	Glyma.02G040900
KOG1872	Glyma.02G040900
KOG0239	Glyma.02G041400
KOG0014	Glyma.02G041500
KOG0010	Glyma.02G041700
KOG4750	Glyma.02G042000
KOG1520	Glyma.02G042300
KOG1520	Glyma.02G042400
KOG4742	Glyma.02G042500
KOG1187	Glyma.02G042900
KOG2345	Glyma.02G042900
KOG0682	Glyma.02G043700
KOG0114	Glyma.02G044000
KOG1591	Glyma.02G044100
KOG1187	Glyma.02G044600
KOG0700	Glyma.02G044700
KOG1134	Glyma.02G044800
KOG1339	Glyma.02G045000
KOG1339	Glyma.02G045100
KOG2318	Glyma.02G045200
KOG2590	Glyma.02G045400
KOG1724	Glyma.02G045700
KOG0393	Glyma.02G046100
KOG0183	Glyma.02G046400
KOG0519	Glyma.02G046600
KOG2884	Glyma.02G046900
KOG1530	Glyma.02G047000
KOG2198	Glyma.02G047100
KOG3201	Glyma.02G047300
KOG0378	Glyma.02G047800
KOG4468	Glyma.02G048100
KOG1294	Glyma.02G048200
KOG0032	Glyma.02G048300
KOG0143	Glyma.02G048400
KOG0143	Glyma.02G048600
KOG4198	Glyma.02G048900
KOG2309	Glyma.02G049300
KOG1635	Glyma.02G049400
KOG0123	Glyma.02G049800
KOG0232	Glyma.02G050200
KOG1187	Glyma.02G050300
KOG0242	Glyma.02G050400
KOG0617	Glyma.02G051300
KOG2293	Glyma.02G051400
KOG0157	Glyma.02G051600
KOG4178	Glyma.02G052300
KOG0764	Glyma.02G052400
KOG1715	Glyma.02G052600
KOG1471	Glyma.02G053200
KOG1672	Glyma.02G053300
KOG1423	Glyma.02G054500
KOG3055	Glyma.02G054800
KOG0431	Glyma.02G055100
KOG2502	Glyma.02G055300
KOG3437	Glyma.02G055400
KOG0254	Glyma.02G056200
KOG0254	Glyma.02G056300
KOG1454	Glyma.02G056400
KOG1509	Glyma.02G056700
KOG0936	Glyma.02G056900
KOG2793	Glyma.02G057000
KOG1470	Glyma.02G057200
KOG0157	Glyma.02G057500
KOG1187	Glyma.02G057700
KOG2739	Glyma.02G057800
KOG0254	Glyma.02G058000
KOG3377	Glyma.02G058200
KOG1632	Glyma.02G058300
KOG1379	Glyma.02G058600
KOG0776	Glyma.02G059000
KOG2966	Glyma.02G059200
KOG3071	Glyma.02G059300
KOG2913	Glyma.02G059500
KOG0027	Glyma.02G059600
KOG1187	Glyma.02G059700
KOG2759	Glyma.02G059800
KOG1703	Glyma.02G059900
KOG0773	Glyma.02G060002
KOG1082	Glyma.02G060500
KOG3017	Glyma.02G060800
KOG1187	Glyma.02G061700
KOG4178	Glyma.02G063500
KOG1454	Glyma.02G063500
KOG4409	Glyma.02G063600
KOG1454	Glyma.02G063600
KOG4178	Glyma.02G063600
KOG1642	Glyma.02G064100
KOG1642	Glyma.02G064200
KOG1642	Glyma.02G064300
KOG1642	Glyma.02G064400
KOG2890	Glyma.02G064500
KOG1311	Glyma.02G064800
KOG3198	Glyma.02G064900
KOG2344	Glyma.02G065100
KOG1947	Glyma.02G065300
KOG2909	Glyma.02G065500
KOG2534	Glyma.02G065600
KOG0234	Glyma.02G066000
